コーヒーのうち、水の含有率はどのくらい？, 90%, 96%, 98%, 99%, 3
コーヒーの木の寿命は最長でどのくらい？, 25年, 50年, 75年, 100年, 4
袋詰めする際、例外的に1袋あたり70kgの豆を詰める代表的な国は？, コロンビア, グアテマラ, ニカラグア, ホンジュラス, 1
エイジング途中の豆を管理しているのはどこ？, FSC, SCTC, GCQ, FSC, 3
フェアトレード認証を受ける基準のうち、間違ったものは？, 小規模農園であること, 公正な労働条件, 経済的な透明性, 労働組合結成の自由がある, 3
1haとは何平方m?, 2.5㎡, 10㎡, 1,000㎡, 10,000㎡, 4
10lbのコーヒーチェリーから何lbの生豆ができる？, 1lb, 2lb, 5lb, 8lb, 2
コーヒーチェリーの一番外側から数えて3番目の層はなんという？, 果肉, 内果皮, ミューシレージ, パーチメント, 3
FY18から発売された「シングルオリジンシリーズ」のうち、店舗で販売された最初のコーヒーは？, パプアニューギニア ハイランズ, イーストティモール タタマイロウ, グアテマラ ウエウエテナンゴ, コロンビア ウィラ, 3
焙煎において、ファーストポップは何分後？, 1~2分後, 6~9分後, 9~13分後, 15~21分後, 2
コーヒーチェリーを収穫する際に、異物を取り除くために用いられる丸い網の名称は？, シンブリア, アグトロン, デュラレックス, ペネイラ, 4
爽やかな酸味が舌の上で躍り、素早く消えるような感覚を表すキーワードは？, Clean, Sparkling, Crisp, Bright, 2
スターバックスは初めての自社農園を何年に購入した？, 2012, 2013, 2014, 2016, 2
スイスウォータープロセスでは何%のカフェインが除去される？, 90%, 97%, 99%, 100%
カフェベロナについて、間違っているのを選択せよ。, 1975年に開発された, 加工法は水洗式, パッケージデザインに描かれているのはバラの花, 3つの別名を持つ, 2
2001年にスターバックスが共同で優先サプライヤープログラムを立ち上げたNGO団体の名称は？, Root Capital, Conservation International, Fairtrade, Scientific Certification Systems, 3
コスタリカの代表的なコーヒー豆生産地として正しくないものは？, ナクル, アラフエラ, トレスリオス, ヘレディタ, 1
後味のほとんど残らないコーヒーを表すキーワードは？, crisp, sparkling, clean, stale, 3
ナチュラル除去法では二酸化炭素と何を使用してカフェインを除去する？, 塩化メチレン, 超純水, カーボンフィルター, 酸素, 2
グアテマラ全国コーヒー協会の名称は？, ICAFE, FNC, GUACAFE, ANACAFE, 4




