コーヒーを乾燥させる際、かき混ぜる時に使用する道具の名称は?, シンブリア, パティオ, ベルジャー, レーキ, 4
グアテマラ全国コーヒー協会の名称は?, ICAFE, FNC, ANACAFE, GUACAFE, 3
ケニアでは何によってコーヒー豆の格付けを行うか?, 欠点豆数, 大きさ, ピーペリーの数, 地域, 2
2001年にスターバックスが共同で優先サプライヤープログラムを立ち上げたNGO団体の名称は?, Root Capital, Conservation International, Fairttrade, Scientific Certification Systems, 1
2015年9月の時点で、約何%のコーヒーが倫理的な調達を満たすコーヒーとして売買された?, 14%, 88%, 99%, 100%, 3
KENのキーワードとして当てはまるものは?, Earthy, Juicy, Healthy, Spicy, 2
最初にコーヒーを発見したとされるヤギ飼いの少年は?, カルディ, ドトール, サイレン, エンサカドール, 1
コーヒーの木がよく育つ、北回帰線と南回帰線に囲まれたエリアのことを何という?, コーヒーライン, コーヒーバレー, コーヒーエリア, コーヒーベルト, 4
先に入れた商品から順番に提供する方法のことを何という?, LIFO, FIFO, LRU, LFU, 2
スターバックスでは標高何m以上で栽培されたコーヒーを販売している?, 200m, 450m, 900m, 1800m, 3
以下の四つのコア豆をローストカーブ順に並べると、3番目にくるのはどれ?, SUM, HOU, WLB, BRK, 2
グアテマラで用いられている通貨の名称は?, ドル, スター, ケツァール, アルフォンブラ, 3
スターバックスで購買するコーヒーはどのように収穫するでしょう?, 機械を使う, 手摘み, 揺らして落とす, 拾う, 2
コーヒープレスでコーヒーの美味しさが保たれる時間は?, 4分, 10分, 20分, 30分, 3
C.A.F.Eプラクティスの4つの基本のうち、当てはまらないものは?, 倫理的調達, 環境面でのリーダーシップ, コミュニティへの貢献, 経済的な透明性, 3
ANVのパッケージデザインは?, サイレン, 湖, アフリカゾウ, 海, 1
コーヒーは花が咲いてからどれくらいの期間で収穫できる?, 7日, 6ヶ月, 9ヶ月, 12ヶ月, 3
フェアトレード認証を受けているコーヒーは?, HAC, FIT, FBI, FRE, 2
アラビカ種のカフェイン含有量は?, 0.5%, 1%, 2%, 10%, 2
コーヒーの適切な抽出温度に当てはまるものは?, 100℃, 98℃, 90℃, 60℃, 3
